lat,long,Category,Source,name,website,address,latlong,Youth Count,Youth Impact,Career Impact,Poverty Impact
42.283566,-83.748468,Innovation Center,Innovation Center,RPM Ventures,http://www.rpmvc.com/,320 N. Main St.,42.283566-83.748468,589,0.09,0.14,0.09
35.9927784,-78.9044725,Innovation Center,Innovation Center,Square 1 Bank,http://www.square1financial.com/vcs,406 Blackwell Street,35.9927784-78.9044725,#N/A,#N/A,#N/A,#N/A
41.870392,-87.6669749,Innovation Center,Innovation Center,Chicago Biomedical Consortium,http://chicagobiomedicalconsortium.org/index.php,"UIC - Molecular Biology Research Building, Room 4070",41.870392-87.6669749,379,0.07,0.15,0.29
41.870392,-87.6669749,Innovation Center,Innovation Center,CBC Catalyst Award,http://chicagobiomedicalconsortium.org/grants/catalyst.php,"UIC - Molecular Biology Research Building, Room 4070",41.870392-87.6669749,379,0.07,0.15,0.29
41.870392,-87.6669749,Innovation Center,Innovation Center,CBC Lever Award,http://chicagobiomedicalconsortium.org/grants/lever.php,"UIC - Molecular Biology Research Building, Room 4070",41.870392-87.6669749,379,0.07,0.15,0.29
41.901353,-87.751197,Innovation Center,Innovation Center,Entrepreneurship Training Program,http://www.bethelnewlife.org/?page_id=4058,4950 W. Thomas,41.901353-87.751197,489,0.12,0.06,0.06
41.8883695,-87.6353645,Innovation Center,Innovation Center,1871,http://www.1871.com/,222 Merchandise Mart Plaza,41.8883695-87.6353645,97,0.02,0.06,0.17
41.887434,-87.677173,Innovation Center,Innovation Center,Industrial Council of Nearwest Chicago,http://industrialcouncil.com/,320 North Damen Avenue,41.887434-87.677173,97,0.02,0.06,0.17
41.887434,-87.677173,Innovation Center,Innovation Center,Fulton-Carroll Center Incubator,http://industrialcouncil.com/incubator,320 North Damen Avenue,41.887434-87.677173,97,0.02,0.06,0.17
40.6969219,-89.6167038,Innovation Center,Innovation Center,IMEC - Downstate,http://www.imec.org/,1501 W. Bradley Avenue,40.6969219-89.6167038,113,0.04,0.01,0.04
41.996518,-87.854628,Innovation Center,Innovation Center,IMEC - Chicago Region,http://www.imec.org/,1177 S. Dee Road,41.996518-87.854628,329,0.19,0.03,0.15
41.8648445,-87.8110162,Innovation Center,Innovation Center,The Joseph Center for Business Development,http://www.josephcenter.com/business/,7600 West Roosevelt Road,41.8648445-87.8110162,379,0.07,0.15,0.29
41.6826648,-88.1076534,Innovation Center,Innovation Center,Sivananthan Laboratories,http://www.sivananthanlabs.us/,590 Territorial Drive,41.6826648-88.1076534,113,0.04,0.01,0.04
41.8763668,-88.2558945,Innovation Center,Innovation Center,DuPage National Technology Park,http://www.iltechparks.com/DNTP_DUPAGE.aspx,Technology Blvd,41.8763668-88.2558945,379,0.07,0.15,0.29
41.889424,-87.65376,Innovation Center,Innovation Center,Enerspace,http://www.enerspacechicago.com/,412 North Carpenter Street,41.889424-87.65376,28,0,0.05,0.06
42.0290604,-87.7509265,Innovation Center,Innovation Center,Illinois Science + Technology Park,http://www.scienceparkillinois.com/,4901 Searle Parkway,42.0290604-87.7509265,329,0.19,0.03,0.15
41.894746,-87.636625,Innovation Center,Innovation Center,Panzanzee,http://www.panzanzee.com/,325 W. Huron St. ,41.894746-87.636625,97,0.02,0.06,0.17
