,lat,long,category,source
56429,41.872967,-87.764778,park,Google
56431,41.872566,-87.763405,school,Google
56435,41.872566,-87.763405,school,Google
56455,41.865623,-87.767562,hospital,Google
56470,41.86781,-87.770335,school,Google
56489,41.864476,-87.77505699999998,school,Google
56504,41.880395,-87.776771,school,Google
56526,41.879911,-87.777842,local_government_office,Google
56527,41.879911,-87.777842,local_government_office,Google
56528,41.879911,-87.777842,local_government_office,Google
56533,41.879842,-87.77911999999998,local_government_office,Google
56537,41.880153,-87.78058,park,Google
56548,41.883333,-87.784763,school,Google
56549,41.88146,-87.784361,school,Google
56553,41.883087,-87.78478,school,Google
56557,41.881811,-87.784103,university,Google
56577,41.881143,-87.783947,school,Google
56591,41.87694120000001,-87.7840192,park,Google
56593,41.87765,-87.784267,park,Google
56594,41.877203,-87.78376,park,Google
56597,41.876088,-87.78202399999998,school,Google
56601,41.875751,-87.781987,school,Google
56610,41.881637,-87.787824,school,Google
56706,41.874107,-87.789027,school,Google
56715,41.874215,-87.79014699999998,school,Google
56720,41.876466,-87.793503,park,Google
56740,41.872388,-87.779421,cafe,Google
56746,41.872796,-87.779679,school,Google
56748,41.87001,-87.7784855,park,Google
56749,41.870032,-87.778818,park,Google
56753,41.87040800000001,-87.779332,park,Google
56793,41.865293,-87.780463,school,Google
56797,41.868132,-87.78293199999997,school,Google
56800,41.865477,-87.78258000000002,school,Google
56815,41.873601,-87.786822,library,Google
56820,41.87252700000001,-87.786264,local_government_office,Google
56828,41.8706676,-87.7884765,park,Google
56830,41.87115900000001,-87.788459,park,Google
56831,41.870567,-87.787779,park,Google
56833,41.87403,-87.79003,school,Google
56836,41.873807,-87.792701,park,Google
56841,41.87158,-87.78965500000002,park,Google
56845,41.869194,-87.789077,school,Google
56868,41.86654710000001,-87.7920112,park,Google
56869,41.869198,-87.789502,school,Google
56872,41.869198,-87.78978000000002,school,Google
56890,41.866341,-87.791952,park,Google
56902,41.864902,-87.792862,cafe,Google
56913,41.901538,-87.79947800000002,park,Google
56935,41.893198,-87.797186,hospital,Google
56939,41.902216,-87.804967,school,Google
56959,41.899198,-87.805892,synagogue,Google
56962,41.901617,-87.807156,university,Google
56964,41.89842,-87.807949,library,Google
56967,41.898236,-87.809515,university,Google
57031,41.894333,-87.804997,school,Google
57039,41.897936,-87.80859699999998,park,Google
57054,41.890278,-87.79519300000003,school,Google
57058,41.88955960000001,-87.7950847,park,Google
57062,41.8891,-87.794409,school,Google
57070,41.889476,-87.794225,school,Google
57072,41.889425,-87.79526,park,Google
57073,41.889614,-87.795332,park,Google
57075,41.889031,-87.796114,library,Google
57082,41.889677,-87.801231,park,Google
57084,41.890086,-87.801087,park,Google
57108,41.888355,-87.793555,hospital,Google
57129,41.888491,-87.79439,cafe,Google
57192,41.886642,-87.79463299999998,local_government_office,Google
57217,41.885073,-87.79428,school,Google
57220,41.886048,-87.794556,local_government_office,Google
57234,41.884848,-87.794273,school,Google
57255,41.888538,-87.79748000000002,hospital,Google
57282,41.888576,-87.800936,cafe,Google
57324,41.8848671,-87.80107740000003,park,Google
57331,41.883988,-87.801285,local_government_office,Google
57332,41.884855,-87.801144,park,Google
57342,41.892704,-87.80478199999997,hospital,Google
57349,41.89067,-87.802714,school,Google
57374,41.8897825,-87.806762,park,Google
57376,41.889661,-87.806179,park,Google
57377,41.889418,-87.805181,local_government_office,Google
57378,41.889418,-87.805181,local_government_office,Google
57380,41.891938,-87.809523,school,Google
57503,41.887081,-87.80282,park,Google
57552,41.8878,-87.803911,hospital,Google
57555,41.887602,-87.8049,cafe,Google
57563,41.88750200000001,-87.805155,cafe,Google
57673,41.902254,-87.814782,school,Google
57687,41.897809,-87.813948,school,Google
57691,41.893234,-87.814809,library,Google
57699,41.902173,-87.822429,university,Google
57700,41.902133,-87.822497,university,Google
57721,41.8905635,-87.8316429,park,Google
57727,41.892088,-87.813927,school,Google
57739,41.888967,-87.81604,school,Google
57740,41.88892,-87.81867,school,Google
57763,41.88802800000001,-87.811406,hospital,Google
57807,41.885853,-87.814542,cafe,Google
57811,41.888575,-87.815733,school,Google
57843,41.888461,-87.819028,school,Google
57860,41.8876044,-87.8227365,park,Google
57878,41.888513,-87.820433,park,Google
57882,41.886958,-87.819661,local_government_office,Google
57884,41.887538,-87.822581,park,Google
57887,41.883642,-87.822282,school,Google
57888,41.88336500000001,-87.822004,school,Google
57889,41.88555520000001,-87.82918609999999,park,Google
57890,41.886861,-87.825311,park,Google
57900,41.88248,-87.79471,school,Google
57901,41.882945,-87.797038,school,Google
57902,41.882254,-87.797558,school,Google
57909,41.880798,-87.79415999999998,local_government_office,Google
57930,41.879656,-87.7966,school,Google
57954,41.879789,-87.799263,school,Google
57981,41.876809,-87.794023,park,Google
57984,41.877473,-87.79689599999998,school,Google
58018,41.882254,-87.804225,school,Google
58051,41.879725,-87.805674,school,Google
58056,41.879778,-87.80564100000002,school,Google
58076,41.88336500000001,-87.810337,school,Google
58095,41.879602,-87.807573,cafe,Google
58111,41.880944,-87.80877,school,Google
58113,41.880552,-87.808871,school,Google
58126,41.879274,-87.80824,cafe,Google
58165,41.878704,-87.80322199999998,hospital,Google
58191,41.876143,-87.809781,school,Google
58204,41.873589,-87.79391700000002,local_government_office,Google
58251,41.871757,-87.79386600000002,cafe,Google
58269,41.872293,-87.798458,school,Google
58271,41.871985,-87.79956700000002,school,Google
58272,41.872288,-87.799582,school,Google
58282,41.868106,-87.79569599999998,school,Google
58284,41.8680344,-87.796775,park,Google
58288,41.867926,-87.79666,park,Google
58316,41.864832,-87.796818,school,Google
58334,41.86479,-87.799339,cafe,Google
58352,41.872247,-87.803696,school,Google
58361,41.871831,-87.80578299999998,school,Google
58369,41.871698,-87.806725,school,Google
58383,41.869476,-87.810058,school,Google
58387,41.867957,-87.80388,park,Google
58394,41.8678591,-87.8038429,park,Google
58447,41.883015,-87.81281,school,Google
58479,41.879607,-87.811251,hospital,Google
58518,41.879393,-87.81300999999998,school,Google
58529,41.879375,-87.81460200000002,school,Google
58547,41.879361,-87.81524399999998,school,Google
58589,41.877026,-87.81460899999998,local_government_office,Google
58598,41.875891,-87.814497,library,Google
58619,41.88059260000001,-87.82918609999999,park,Google
58627,41.874402,-87.826316,local_government_office,Google
58631,41.874402,-87.826316,local_government_office,Google
58632,41.874403,-87.826236,local_government_office,Google
58635,41.872732,-87.81496899999998,park,Google
